VARIABLE NAME	API data type	NAME OF DATA ELEMENT
C150_L4	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)
C150_4_POOLED	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion), pooled for two year rolling averages
C150_L4_POOLED	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion), pooled for two year rolling averages
POOLYRS	integer	Years used for rolling averages of completion rate C150_[4/L4]_POOLED and transfer rate TRANS_[4/L4]_POOLED
PFTFTUG1_EF	float	Share of entering undergraduate students who are first-time, full-time degree-/certificate-seeking undergraduate students
D150_4	integer	Adjusted cohort count for completion rate at four-year institutions (denominator of 150% completion rate)
D150_L4	integer	Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 150% completion rate)
D150_4_POOLED	integer	Adjusted cohort count for completion rate at four-year institutions (denominator of 150% completion rate), pooled for two-year rolling averages
D150_L4_POOLED	integer	Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 150% completion rate), pooled for two-year rolling averages
C150_4_WHITE	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for white students
C150_4_BLACK	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for black students
C150_4_HISP	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Hispanic students
C150_4_ASIAN	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Asian students
C150_4_AIAN	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students
C150_4_NHPI	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Native Hawaiian/Pacific Islander students
C150_4_2MOR	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for students of two-or-more-races
C150_4_NRA	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for non-resident alien students
C150_4_UNKN	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for students whose race is unknown
C150_4_WHITENH	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for white students
C150_4_BLACKNH	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for black students
C150_4_API	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Asian/Pacific Islander students
C150_4_AIANOLD	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students
C150_4_HISPOLD	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Hispanic students
C150_L4_WHITE	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for white students
C150_L4_BLACK	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for black students
C150_L4_HISP	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Hispanic students
C150_L4_ASIAN	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Asian students
C150_L4_AIAN	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students
C150_L4_NHPI	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Native Hawaiian/Pacific Islander students
C150_L4_2MOR	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for students of two-or-more-races
C150_L4_NRA	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for non-resident alien students
C150_L4_UNKN	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for students whose race is unknown
C150_L4_WHITENH	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for white non-Hispanic students
C150_L4_BLACKNH	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for black non-Hispanic students
C150_L4_API	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Asian/Pacific Islander students
C150_L4_AIANOLD	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students
C150_L4_HISPOLD	float	Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Hispanic students
C200_4	float	Completion rate for first-time, full-time bachelor's-degree-seeking students at four-year institutions (200% of expected time to completion)
C200_L4	float	Completion rate for first-time, full-time students at less-than-four-year institutions (200% of expected time to completion)
D200_4	float	Adjusted cohort count for completion rate at four-year institutions (denominator of 200% completion rate)
D200_L4	float	Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 200% completion rate)
RET_FT4	float	First-time, full-time student retention rate at four-year institutions
RET_FTL4	float	First-time, full-time student retention rate at less-than-four-year institutions
RET_PT4	float	First-time, part-time student retention rate at four-year institutions
RET_PTL4	float	First-time, part-time student retention rate at less-than-four-year institutions
C200_4_POOLED	float	Completion rate for first-time, full-time bachelor's-degree-seeking students at four-year institutions (200% of expected time to completion), pooled for two year rolling averages
C200_L4_POOLED	float	Completion rate for first-time, full-time students at less-than-four-year institutions (200% of expected time to completion), pooled for two year rolling averages
POOLYRS200	integer	Years used for rolling averages of completion rate C200_[4/L4]_POOLED
D200_4_POOLED	float	Adjusted cohort count for completion rate at four-year institutions (denominator of 200% completion rate), pooled for two-year rolling averages
D200_L4_POOLED	float	Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 200% completion rate), pooled for two-year rolling averages
PCTFLOAN	float	Percent of all undergraduate students receiving a federal student loan
UG25ABV	float	Percentage of undergraduates aged 25 and above
CDR2	float	Two-year cohort default rate
CDR3	float	Three-year cohort default rate
DEATH_YR2_RT	float	Percent died within 2 years at original institution
COMP_ORIG_YR2_RT	float	Percent completed within 2 years at original institution
COMP_4YR_TRANS_YR2_RT	float	Percent who transferred to a 4-year institution and completed within 2 years
COMP_2YR_TRANS_YR2_RT	float	Percent who transferred to a 2-year institution and completed within 2 years
WDRAW_ORIG_YR2_RT	float	Percent withdrawn from original institution within 2 years
WDRAW_4YR_TRANS_YR2_RT	float	Percent who transferred to a 4-year institution and withdrew within 2 years
WDRAW_2YR_TRANS_YR2_RT	float	Percent who transferred to a 2-year institution and withdrew within 2 years
ENRL_ORIG_YR2_RT	float	Percent still enrolled at original institution within 2 years
ENRL_4YR_TRANS_YR2_RT	float	Percent who transferred to a 4-year institution and were still enrolled within 2 years
ENRL_2YR_TRANS_YR2_RT	float	Percent who transferred to a 2-year institution and were still enrolled within 2 years
UNKN_ORIG_YR2_RT	float	Percent with status unknown within 2 years at original institution
UNKN_4YR_TRANS_YR2_RT	float	Percent who transferred to a 4-year institution and whose status is unknown within 2 years
UNKN_2YR_TRANS_YR2_RT	float	Percent who transferred to a 2-year institution and whose status is unknown within 2 years
LO_INC_DEATH_YR2_RT	float	Percent of low-income (less than $30,000 in nominal family income) students who died within 2 years at original institution
LO_INC_COMP_ORIG_YR2_RT	float	Percent of low-income (less than $30,000 in nominal family income) students who completed within 2 years at original institution
